Review
"Gopaynya di perbaiki lagi utk masalah perbaikan yg misal no akun ya hilang,, Kalo bisa dipermudah, Jangan mempersulit pengguna nya yg ingin mengaktifkan lagi ato mengganti nomernya,, terimakasih,, Mohon berhatihati bagi yg menyimpan uangnya disaldo gopay,, utk perbaikan secara lgsung lewat customernya juga tidak bisa,, pas ditelpon harus tetep lewat form diapk gopay,, udah gitu pertanyaan nya sangat mempersulit pengguna nya.. Sehingga nomer yg lama yg hilang tidak bisa diganti,, sekian trims"
"Aplikasinya sangat membantu untuk transportasi, pesan makanan, dan kebutuhan harian 😄 Fitur lengkap dan ekosistemnya luas. Namun kadang harga naik turun tidak konsisten, dan beberapa layanan juga bisa terasa mahal di jam tertentu. User experience masih oke, tapi bisa lebih stabil dan transparan lagi 👍"
"Menu kurang, ajukan komplain, yg jawab AI, ada aja yang kurang, alhasil ga bisa diproses. Gitu aja terus. Yang driver / toko nya ga ada sanksi, yang rugi saya. Silahkan dicek, sy pengguna setia dari 5 th yll. Masa ga ada catatan buat driver / tokonya. Sistemnya dibenerin lagi."
"di bagian gofood banyak banget yang jelek nya 1. ketika susah dapet driver timer otomatis melambat tidak real time 2. chat CS dibalas nya oleh AI(meskipun bahasa nya tidak kaku tapi kita hanya disuruh pilih jawaban saya tidak bisa tulis sendiri) 3. ketika Disambungkan ke CS yang diberi kebebasan chat apapun,ternyata itu masih AI yang jawab,hanya memberi informasi terkait pesanan,bukan menjawab pertanyaan. jujur gk tau harus bangga atau gk,sisi lain ini APK dalam negri,sisi lain tidak memuaskan"
"Apk gk jelas, posisi drivernya suka diem terus tapi tiba-tiba jalan kenceng banget, terus tiba-tiba jauh lagi posisi drivernya, malah kadang muncul di arah yg berlawanan/udh lewat. Paling kesel pas udh kayak gitu, udh tunggu lama-lama Drivernya dengan entengnya ngebatalin (dikira orang yg pesen gk ada kejar waktu kali). udh gitu harganya suka tiba-tiba dinaikin gk tau kenapa, saya yg awalnya paket hemat 8,5k sekarang jadi 11,5k ngeselin banget serius"
"gojek ini mengerikan, sama seperti menipu penumpang klu aplikasi sudah sesuai alamat tapi kok titiknya berbeda , kejadian tidak menyenangkan yang saya alami order tujuan sudah sesuai alamat dan alamat tsbt cmn ada 1 di surabaya sidomulyo sidotopo jl kenjeran, driver mengikuti map tujuan arah beda ditengah jalan saya disuruh rubah alamat tujuan lagi & berubah titik yg sesuai !!! harusnya kena tarif 37.500 tapi saya harus bayar 53.500 . !! brengsek jangan seperti ini lah aplikasi nipu customer !!"
Kadang aplikasi terasa berat atau lag di HP tertentu. Harga bisa naik saat jam sibuk atau hujan. Beberapa pengguna mengeluh bug setelah update tertentu. Kadang sulit dapat driver di daerah tertentu. Notifikasi dan promo terkadang terlalu banyak. Ada pengalaman pelayanan driver/resto yang tidak konsisten. Semoga kedepannya bisa diperbaiki lagi yaa!! terima kasih🙏🏻🥰.
"ini aplikasi bagaimana driver ojek saya jarak tempuh dari saya untuk penjemputan hampir lebih dari 2 km, katanya ada fitur pencari terdekat kenapa jaraknya sampai sejauh itu apakah itu dekat? ditambah lagi untuk gofood nya itu saja tidak masuk akan di tulisan ongkir 5 rib, tapi kenyataan tetap 15 ribuan. pada hal saya sudah berlangganan gojek plus tetap saja tidak ada diskon, dasar aplikasi butut, aplikasi kikir"
"banyak driver pada males jemput. rata² semua driver chat ""kalau pesan jangan pilih HEMAT"" GILA emang, jelas² di aplikasinya ada opsi pilihan ""hemat"" ya otomatis bakal bisa dipilih lah, kalo gak mau dipesen hemat demonya ke perusahaan dong jangan ke customer!! ngebuang² waktu buat nunggu lamaaaa bisa sampe 1 jam lebih. dan minta customer buat cancel tapi mereka gak mau langsung cancel! btw case ini kebanyakan di area Jogja"
"jelek, sekarang dapet driver jadi lama tidak konsisten, ada driver yang posisinya dekat tapi malah dikasih yang paling jauh, jam ramai masih banyak driver kosong tapi tidak dikasih APLIKASI TERJELEK SEDUNIA. edit: masalahnya kak, bahkan aplikasinya sendiri juga sering tbtb loading dan gak bisa dibuka padahal kuota aku ada dan buka aplikasi lain aman, tapi pas buka gojek malah gabisa?? katanya ada kendala teknis??"
"Mohon diberikan pembinaan atau sejenisnya kepada (oknum driver mobil) yang tidak mengaktifkan gps sewaktu memesan dan slow respon dalam membalas chat. Kasian kami pesen hampir menunggu 50 menit namun seakan tidak ada kepastian kapan datangnya padahal hanya berjarak 1,5 km dari titik jemput. Jika tidak mau mengambil silahkan chat saja calon penumpang supaya dicancel dan bisa nyari driver lainnya. Maaf terpaksa kami cancel karena ortu saya sedang sakit kelamaan menunggu🙏🏻. terimakasih"
"untul gofood pengiriman sering kali terlambat krna driver dpt double order,makanan sudah dingin ,nungu hampir 1 jam lebih..., untuk saya sudah 3x sperti itu..! saran saya mending pake grab..,baik itu gofood/gocar ny, pelayanan ny lebih baik"
"woi gojek saya punya dua orderan nihh, resto udah tutup dan saya gabisa cancel orderan nya. Gopay saya sudah terpotong. dari pihak gojek tidak ada yang bisa saya telpon untuk selesaikan masalah nya. Drivernya cancel orderan dan dipindah ke driver lain lagi dan akhirnya berulang terus. Tolong dibantu dan profesional dong sama mitra dan resto nya. kalo sudah closed jangan diterima orderan"
menurut saya aplikasi nya sudah bagus namun perlu ditingkatkan pada bagian maps nya soalnya daerah rumah saya masuknya ke komplek sebelah jadi kadang berkali-kali driver masuk ke komplek sebelah bukan komplek saya
"halo saya baru saja ganti hp, otomatis aplikasi tertutup. ketika ingin buka aplikasi gojek minta verivikasi email. sedangkan email lama saya sudah tidak terpakai lagi. tolong solusinya jek. sudah pakai nomor telepon yg aktif tapi tetap tidak bisa."
cari drivernya lama padahal udah aktifin fitur pencarian cepat dengan tambahan biaya tapi gak dapat2..padahal di sekitar terlihat banyak driver👎🏿udah sekitar 20 menit nungguin gak ada yang nerima semua para drivernya..dan juga para driver mesti sy kasih tip tambahan meskipun gak banyak
"sistem navigasinya kurang bagus, dari sekian banyaknya gojek, mengapa saat saya yang pesan tidak dapat2. trs kenapa jobnya yang gofood itu dibedakan dengan jobnya gojek?? kan kalo sama2 gojek artinya masih bisa dong untuk saling bantu. apakah karna tipnya kurang banyak?? inti dari ini saya hanya mau bilang kalo navigasinya tolong ditingkatkan lagi. terimakasih"
"di hp saya lag banget masa lagi lihat"" makanan kepencet beli dan ongkirnya mahal banget lagi dan ga bisa dibatalin, diaplikasi lain bisa disini kok ga bisa padahal masih beberapa detik dari pemesanan tolong perbaiki lagi ONGKIRNYA TERLALU MAHAL"
"Aplikasi gofood jelek karna tidak bisa customer chat merchant makanan yg dibeli yg tidak sesuai pas diajukan ke gojek hanya bilang semoga kedepannya tidak terjadi hal tersebut dan tidak ada tinjut, sedangkan apk sebelah bisa nyelesain masalah dalam waktu kurang 1 jam"
"dikasih saldo limit playlater tapi di pakai belanja medekati limit tapi di tolak sama di bloker, maksudnya apa!!! niat ngasih pinjaman atau enggak, ragu ragu gitu!!! padahal pembayaran lancar... hadeh fungsi ada saldo limit apa woi ?!!"
"Udah 2x pesen go food gada yang mau ambil, ini masih ada drivernya atau enggak sih? Perasaan dulu ga kayak gini, tiba tiba habis update aplikasi jadi gada yang mau ambil. Dan juga untuk pembatalan pesanan 1 jam itu cukup lama, kalo bisa pembatalan itu bisa dilakukan kurang dari 1 jam. Kalo pun dibuat 1 jam harusnya ada kompensasi yang sepadan juga lah. Ini aplikasi bener bener buat kebijakan baru yang belum tentu disetujui driver ya akibatnya gini gada yang mau ambil persenan gofood"
"makin kesini makin mengecewakan !!, udh mahal, tapi males2an drivernya, terutama kondisi gerimis, dan agak malam. diadakan ini apk bukannya utk mempermudah di sikon seperti itu? inimah bukan mempermudah, tapi bikin emosi."
"kalau pesan grab motor sama mobil cepet. tapi, kalau pesan makanan itu lama sampe harus nunggu 1jam malah ada yang sampe nunggu tapinga jadi. skrg aku pesen sampe jam set 2 malem belum adanyang ambil sedangkan udh bayar, karna toko udh klik pesanan dibuat JD ga BS di batalkan. apalagi kalau malem2. mana aku LG hamil, suka laper malem2. menurut ku selagi pembeli belum dapet driver, toko jangan klik dulu pesanan dibuat, itu JD susah dibatalin."
menurut saya pilihan anda untuk customer tidak bisa cancel adalah pilhan yang CERDAS..... sedangkan driver dan resto dapat mengcancel kapan saja semau mereka ditambah ini ada resto yang tutup tapi diaplikasi buka driver enggan/ tidak bisa cancel resto tidak bisa dikabari dan customer hanya bisa pasrah menunggu 30 menit bahkan lebih untuk bisa cancel dan pengembalian dana lagi dan lagi KECEWA
"makin ke sini makin gedeg untuk gocar nya, sudah pilih gocar xl, karena kita berlima (2 dewasa 2 anak 1 balita), menunggu 40 menit untuk 4 driver semua pada cancel jarak juga cuma 5 KM gak hujan juga, semuanya gak pada ngambil orderan, d chat pada gak d bales, klw gak mau narik jgn pada ngidupin aplikasi drivernya"
"Customer udah nunggu 1 jam, driver ga ngabarin kalo ga di pick up. Nunggu customer duluan yang hubungin, kejadian kaya gini ga sekali dua kali sering bgt. Non aktifin aja mode hematnya buang waktu orang lain"
"mo order taxi bluebird, gocar, goride dll ada di aplikasi ini gampang penggunaannya, tinggal klik lalu kita pilih sesuai keinginan kita mau gofood, gomart juga ada. Pokoknya mantul gak ribet ribet deh..."
"biaya aplikasi yang di beban kan ke pelanggan terlalu besar , dengan jarak tempuh 2km saya sudah membayar 15.500 dan pengemudi hanya menerima 9.200 ditambah saya sudah berlangganan 3 bulan, jangan kan dapat diskon, yang ada, paket berlangganan cuma setor uang ke Gojek tapi pelanggan tidak diberikan benefit"
"pesen makan lama nyampe nya,, udah gitu driver nya ribet...😒,, kalo makanan sampe tidak tepat waktu harusnya potong harga dong,, jangan dapat voucher,, kalo voucher mah nanti pas di belanjain lagi kita dapat nya telat lagihh,, voucher lagi telat lagi terus aja kayak gt sampe tua..🤦"
"Sudah Mahal ongkos kirim go food, ada berbagai macam biaya2, sudah itu driver masih muter2. minimal untk jarak gofood 3km aja, dgn resto yg cepat pnajian , bisa nunggu sejam lebih, krna driver bisa ambl 2orderan skligus. byr mahal, ada biaya ongkir, admin biaya persiapan apalah itu. jgn salah pasti sepi. enak waktu Gojek d tentang semua Pihak dlu.. hadehhh"
"mapsnya kadang ga jalan, ga sesuai. kyk tiba² ilang mapsnya/ke cencel padahal ternyata drivernya masi jalan gitu, kan kesian, saya jadi kepesen 2 kali waktu itu."
aplikasinya bagus minimal diperbaikin min kayak misalnya beli makanan pas udah pembayaran untuk beli makanan terus makanan di proses tapi belum sama sekali dapat driver sampe 5 menit mending langsung dibatalin min jangan harus tunggu sampai 1 jam lebih keburu mati kelaparan
"Untuk tim Gojek yang baik hati dan tidak sombong, sekitar semingguan ini tiap saya pesan Go Ride selalu lama dapat drivernya. Padahal saya juga sudah aktifkan pencarian prioritas. Tolong diperbaiki ya. Terima kasih."
"mohon maaf saya komen disini, saya driver gojek,karena di aplikasi gojek driver ga direspon dan tidak terjadi perubahan, sudah menggunakan menu bantuan, tetapi tidak ada perubahan, mohon dibaca tolong dong segera perbaiki sistemnya, ini terjadi error sistem, antara driver dan orderan saling tunggu, apakah hanya memprioritaskan beberapa driver, sehingga orderan nungguin di resto, driver lain hanya dijadikan serep, terkadang makanan sampai dingin di resto nunggu driver,di resto ada driver nunggu."
"Fitur ga masalah, masih sat set seperti biasa. Cuma yah, begitulah banyak promo promo mengganggu lewat notif yang belum bisa difilter lewat settingnya. Ini bakal sempurna kalau bisa disetting. Dan tolong, akhir akhir ini banyak sekali dapat mitra driver yang ga bisa baca peta, catetan ga pernah dibaca! Mau praktis tapi malah jadi sulit nyusulin driver. Kalau begini Gojek hampir hilang fungsi utamanya!"
"jujur baru sekarang kecewa sama driver gocar, 3 kali dpt driver tapi malah pada gk jalan gara2 jauh perjalanan, padahal aku gk pesen yg hemat, tolong dong buat driver2 klo misal gk mau y jangan di ambil bukan malah nawar harga yg ga masuk akal!!!"
"ini saya rating lagi bintang 1 ya karena sangat susah melaporkan driver goshop yang tidak mengambil pesanan, tidak membalas chat. dan ia sengaja memutar tidak jauh di area sana menunggu saua untuk cansel. untuk malaporkan harus menyelesaikan pesanan, sedangkan ia tak mau mengambil pesanan"
masa ada jarak yg terdekat di lewatkan jarak yg jauh gimn seh app gojek ini... padahal saya liat bisa di lewatkan jalan yg tdk berkelok2. tolong di benerkan... sering pake gojek kok updateannya keok... ( kasus lama) kasus baru pesen mkn kayak pesen antrian sembako yg kena php. masa udh pilih alamat dikasih alamat terdekat lagi. tiap buka app tiba2 hang tutup app sendiri. aneh kok gojek
"jadi saya ga cancel pesanan tapi tiba tiba cari driver ulang, namun saya konfirmasi ke drivernya masih jalan dan ga ke cancel. Jadi pesanan saya numpuk 2 driver, tolong diperbaiki bugnya."
"Coba pakai opsi hemat karena emang gak lagi buru buru, tapi estimasinya berubah jadi telat, sampai sejam lebih saya tunggu, ternyata dibatalkan sama gojek dengan alasan driver sibuk. Kalau memang gak mau menyediakan ongkir hemat, jangan disediakan fiturnya! Saya nunggu lama hanya untuk pesan ulang saja, gimana sih gojek. Padahal saya pengguna setia sejak tahun 2020 an, kecewa."
"driver nya pada kenapa sih kebiasaan banget belom jalan udah kebanyakan nanya berapa orang lah dimana lah segala macem, kadang pas udah sampe di titik jemput malah dia yang cancel sendiri gajelas bgt. kadang di chat kaga bales jemput juga kaga jalan mau nya apa sih? giliran saya keseringan cancel gara"" driver pada gak gerak malah kena peringatan kan bgst. minimal aplikator deteksi lah pergerakan driver sejak orderan masuk, suspend aja yang pada kebiasaan gak mau ambil tapi juga gak mau cancel."
"Tolong untuk pembayaran baik menggunakan Qriss dan apk transfer lainnya ditambah seperti ovo, dana atauapapun dan tolong ongkirnya di sesuaikan (jangan kemahalan). MAKASIH..."
daftar asuransi proteksi layar retak. sekitar di bln maret. dan di bulan mei klaim garansi tapi sudah 2 minggu lebih ngajuin gak di proses2. uda di gmail juga jawabannya masih dlm proses. tapi di aplikasi GO-JEK tertera diproses 4 hari kerja. jadi gak yakin mau daftar asuransi lainnya. yg sepele aja lama proses nya apalagi asuransi besar
"susah mendapatkan driver,sekali y dapet driver y posisi jauh,,tolong di perbaiki,biar mudah dapat driver yg terdekat,bukan yg jauh,di maps y bnyak driver yg dekat,sekali ya dapet driver yg jauh."
"Gofood sangat membantu sekali dalam keadaan lapar tapi mager. Gojek sangat membantu saat bepergian tapi mager bawa kendaraan atau sedang tidak bawa kendaraan. Gosend sangat membantu saat ingin mengirim sesuatu tapi mager. Gocar, Go shop juga ok keren pokoknya sangat membantu saya saat dibutuhkan."
"apaan, nyari driver lama banget. Udah sering banget kaya gitu lo, kan aneh mending maxim kalo gitu. mana klo nunggu bisa 1 jam, klo aplikasi lai udh sampe 40 menitan mah"
"ini juga, main bolak balok sudah skor 500, malah ada keterangan ""aktivitas tidak wajar"". kepala kamu gak wajar. ngasih uang receh 10 rupiah aja dipersulit. percuma update tapi kayak gini gak becus diperbaiki. saya main pakai otak saya sendiri gak pakai bot. main game udah jujur tapi disabotase terus"
"parah sih driver lu pada min kalo hujan, atau habis ujan pada kompak bgt nonaktif aplikasi.. kejadian di St. Palmerah gw mesen lewat aplikasi, pada maunya tanpa aplikasi. padahal di aplikasi cuma 15k-17k doang. pada getok harga offline 25k-35k. anjjj.. pake aplikasi sampe 1jam ga dapet driver. evaluasi lagi dehhh tuuu 🫠. nanti gw ubah bintang klo udah bner."
"Saya kecewa dengan penanganan customer service Gojek. Saat saya melaporkan transaksi yang tidak saya kenali, saya justru diarahkan untuk mengurusnya sendiri ke pihak lain tanpa bantuan yang berarti. Sebagai pengguna, saya berharap Gojek dapat memberikan dukungan yang lebih jelas dan membantu menyelesaikan masalah, terutama ketika menyangkut kehilangan saldo dan keamanan transaksi."
"apk error, mau batalin langganan nggak bisa, tolong perbaiki, mana di ambon resto yang plus cuma dikit, bisa dihitung jari, rugi banget"
"Selamat siang Pihak Gopay, saya mau menyampaikan kekecewaan saya, yg dimana ketika pengisian pulsa nomor tlfn tidak terdaftar tetapi saldo tetap berkurang. payah banget ini.."
apaan jir udah di edit alamat nya ttep ongkosnya ga berubah. gua mau Bekasi ke Bogor trs gua edit alamat jadi masih di daerah Bekasi ttep aja harganya segitu jadi terpaksa gua bayar 136 cuma buat beberapa kilo doang
"Teruntuk Gojek, mohon dengan sangat di perhatikan, di area sekitar terpantau banyak driver nunggu orderan, tapi kenapa saya order membutuhkan waktu lama ? dan sekalinya dapat, posisinya jauh sangat dari titik penjemputan."
"memang tarifnya murah.. tapi mencari drivernya lama, bisa sampai 10 - 30 menit . itu pun jika sudah memilih menu yg nambah tarif. terimakasih"
"Ribet bgt, klo ga di update ga bisa di buka. maksa bgt harus update 👎 udh di update pun aplikasi ga bsa dibuka suruh nunggu 60 menit, gila pdhl udh keburu perlu gojek. brengsek bgt!!!!"
"Fiturnya semakin banyak dan menarik, namun GoPaylaterku tak bisa dipakai lagi padahal sangat berguna sebenarnya.. ayolah Gojek aktifkan lagi, kan kita bisa saling support"
"proses gopay pinjam ribet dan lama,disuruh nunggu 15 menit,sudah 2 jam masih gak d proses juga...klo sekiranya orang butuh pinjaman buat lahiran,mgkin sudah lahiran pinjamannya belum juga cair....mana admin gak ada yg bisa di chat....parah...."
"Saya kecewa selalu bermasalah dalam penggunaan, pesan satu antar 3 x , tidak memesan terkadang ada pesanan masuk ... tolong aplikasi di perbarui lagi kami belum siap pesanan tapi SDH auto pesan sering salah paham sama drever nya 😬"
tolong untuk developer aplikasi go-jek tolong sistemnya diperbaiki lagi tolong jangan mengira vocalizer adalah virus kuda Troya karena sebenarnya itu adalah mata bagi kami para tunanetra untuk mendengarkan menu-menu makanan tolong diperbaiki lagi ya terima kasih
"aplikasinya jelek semenjak di update, saat buka gofood selalu aplikasi berat, saat memilih makanan, saat ingin membayar, selalu keluar aplikasi sendiri, dan selalu ada notifikasi aplikasi tidak merespon, padahal HP saya punya ram 8 GB, jadi saya selalu gagal untuk pesan gofood, dan itu selalu gajadi akhirnya"
"semenjak di update sekarang malah jelek, bisa2nya ada driver terdekat malah ngambil yg paling jauh, sering tiba2 ngelag dan keluar sendiri, malah sering ga dapat driver karna dari aplikasi bilang tidak dapat mencari driver padahal bukan di jam sibuk"
"Halo tim Gojek Indonesia, semoga ke depannya bisa menambahkan metode pembayaran melalui QRIS agar pengguna bisa membayar layanan Gojek lebih mudah tanpa harus menggunakan GoPay saja. Selain itu, mohon juga untuk memperbanyak promo dan diskon agar makin menarik bagi pengguna dan tidak kalah saing dengan aplikasi sebelah yang serupa. Karena sekarang banyak pengguna yang mempertimbangkan promo saat memilih aplikasi transportasi online. Terima kasih 🙏"
"saya baru mau mengunakan nomer saya untuk daftar gojek,perlu digarisbawahi nomer saya baru,tetapi pas saya mau daftar tetapi harus nunggu email dari email yang sama sekali bukan punya saya.sangat mengecewakan sekali kapok."
"Aplikasi nya re connect mulu,g bisa buka menu,g bisa buat order apapun, tulisan nya suruh cek kuota internet/wifi padahal kuota banyak,wifi jg ada kenceng banget malah,memori hp lega.Udh uninstall install di 2 hp pun tetep sama,tetep ga ngaruh.Dahlah pilih yg lain aja yg bisa dipke"
"untuk gojek coba chat ny di bikin lebih fast respon lagi, soal ny ketika driver gojek ngechat atau telepon suka ada delay minimal itu dlu deh di perbaiki, terus tiap milih lokasi penjemputan kok aneh ya skrg di saya gak bisa milih titik jemput nya soal ny klo saya bilang di resto b dan sebelah ny resto a malah yg ketunjuk di resto a trs yg resto b gak bisa di pilih anehhhhhh"
penggunaan aplikasi untuk beli barang dan pesan kendaraan sdh baik TETAPI tiba-tiba ada potongan dr aplikasi catcut sebesar 83.250 padahal tidak berlangganan catcut setelah saya cek ada pemotongan bulan maret 8325 juga melalui aplikasi gojek. mohon untuk pengguna yg lain untuk lebih hati-hati
"sering banget susah dapet driver, bahkan selalu ga dapet padahal udah lama banget nungguin. pake yang biasa atau hemat ga ada bedanya. yang disayangkan adalah di apk terlihat bahwa driver di sekitaran titik itu banyak, tapi ga ada satupun yang nerima."
"masa driver tidak bergerak, tidak ada respon telp mau pun chat saya kena potongan 3000 untuk pembatalan, klodriver nya diam tak bergerak trus gmn apa kita sebagai castamer ga boleh mlkukan pembatalan gtu... tolong donk saya dua kali harus bayar 3000x2 pembatalan gila ga tuh... tolong kasih solusi ke kita sbgai castamer"
dengan berat hati saya kasih rating 1 untuk aplikasi dan driver gojek. saya sudah booking gocar dari pukul 17.00 sampai pukul 18.00 semua di cancel setelah tau saya bawa belanjaan. Perbaiki dulu sistemnya.
"sulit untuk melaporkan masalah aplikasi ke CS, karna sudah diberikan pilihan. sedangkan untuk kasus baru yg tidak ada di pilihan tidak bisa dilaporkan karna tidak bisa mengetik pelaporan. masalah saya adalah ketika pesen gocar, saya diarahkan pada trek lewat tol dan lebih jauh sehingga ongkos yg harus saya bayar hampir 2 kali lipat dari seharusnya, tapi ketika pengantaran drivernya mengantar saya lewat jalur non tol, ya karna memang lebih dekat lewat non tol. tolong kedepan diberi opsi jalur."
"kmrin, 24 mei 2026 pkl. 19.50 lebih. psn gocar dr MOG ke jedong. dpt driver pertama jarak 240 mtr (3 mnt) di jl. sumbing. driver gak gerak2 dan gak respon chat, trtulis di aplikasi macet dan klo d batalkan bs kena biaya 3.000 rupiah. saya nunggu sampai 15 menit ttp tdk brgerak dan tdk respon chat. akhirnya saya batalkan pesanan. pesan lg gocar ke 2. dapat lg dr jl. sumbing jarak 500 mtr lbh ( 5 menit). awalnya tidak bergerak dan tidak respon jg. kemudian respon chat bilang mau cari makan dulu."
"bintang satu bgt pdhl posisi mau hujan tp gada yg ngambil orderan uda beberapa kali coba pas ada yang nerima ga gerak sama sekali sampe 10 menitan, alhasil saya cancel coba order lagi gada yang Nerima padahal posisi pada Deket dari posisi saya."
"ada saldo di gojek tbtb habis kepotong biaya yang gajelas , kaya capcut dan remini ai padahal gak ada aplikasinya dan gapernah pake, sumpah kecewa bener, niatnya mau nabung di gojek malah kepotong biaya gak jelas, najis"
"dari pada pengemudimu ugal ugalan di area kuta bahkan sering saya lihat bonceng 3 bawa turis, mending kamu ratakan ketersediaan pengemudi biar tidak numplek di kuta ngetem pinggir jalan malah sering bikin macet. aplikasi bukan meringankan malah menimbulkan masalah."
"Menurutku ini hancur banget dan kecewa banget parah, padahal saya tidak ada niatan menggunakan voucher promo diskon hingga Rp. 10.000 diaplikasinya, padahal saya ingin menggunakan promo diskon gopay yang Rp.8.000. Terus""an saya buat laporan sampai sekarang tanggapannya benar"" kecewa banget masa gak bisa pengembalian dana walaupun tidak disengaja dan padahal itu juga terjadi kesalahan teknis. Ayolahh Gojek indonesia bantu lah ini hanya kesalahan teknis."
"Kenapa saya nggak bisa main bolak-balok lagi setelah mencapai 500 poin dan dinyatakan ""Aktivitas tidak wajar terdeteksi!"" padahal saya tidak pernah melakukan pelanggaran apapun. Akun saya hanya 1 dan tidak melakukan upaya kecurangan apapun. Note:saya memang pernah menang 10k koin sekali dan reset hadiah nya pun harian, disaat saya mau coba main lagi sudah tidak bisa masuk. setelah kejadian itu saya tidak bisa membuka games Bolak-Balok. di layar hanya terpampang Black Screen/layar kosong hitam"
"gak tahu kenapa akhir² ini susah banget dapat driver, harus altiflan prioritas, padahal juga hadi biasa pasti ada tulisan lagi rame aktifkan prioritas, jadi sekarang sudah gk minat pakai gojek lagi"
"saat ini saya kasih bintang 1 aja untuk aplikasinya, pesen gofood, biaya penanganan nya mahal bgt dan ada ""group order"" kalo mau murah, ribet banget sih, tinggal kasih diskon kayak dulu apa susahnya sih, masa' selisih ama sebelah bisa 30rb an, gile"
"Saya cukup kecewa sebagai user yang baru kembali menggunakan Gojek . Hari ini Saya menggunakan fitur beli barang di apk Gojek , Namun Saya tidak dapat driver untuk membelikan barang . Awalnya harga yang tertera normal , kisaran harga juga sesuai seperti yang saya cantumkan. Namun setelah beberapa saat , setelah mencari driver ke dua kalinya , Harga yang saya cantumkan jadi 3 kali lipat . Alhasil setelah barangnya datang , Saya harus membayar dengan harga diluar nalar tsb.:) 💔"
"makin lama makin buruk aja, ojolnya telpon tiba tiba suara ilang. resto gak ngasih kabar klo menu nya gak ada. pake promo gojek+ sama aja kyak gak pake promo malah kadang kena lebih mahal. lama lama aneh lu."
"gajelas ni makin ksini, di kasih taunya tinggal berapa menit lagi sedangkan jalannya masih jauh, chat juga delay bgt ngirimny padahal jaringan bagus, saya juga harus relog terus tiap mau liat driver jalan apa tidak, kalau ga relog ya ga kliatan jalannya, saya chat driverny dia bilang jalan kok tapi di map ga jalan jalan."
"tambah menurun ...biasa klu sdh dikenal pasti kualitas menurun beda dgn waktu pertama kali hadir🙃🙃🙃...gojek saat ini bukan solusi ....jd iklan itu bohong...knp saat hujan malah gak bisa membantu malah merepotkan dan yg terbaru ada program baru "" kepengwn cepet tambah 5000"" apa maksudnya...mau meringankan atau meloroti....percuma download aplikasi nya klu gak bermanfaat ..."
"jika bisa upgrate sudah waktunya level up min coba deh sediain peralatan atau barang² dilokasi terdekat jadi lebih efisien kaya toko oyen tapi lebih memudahkan, jika toko oyen mebutuhkan 2-5hari pengiriman ini cukup beberapa jam saja. bisa membantu umkm terdekat semoga membantu💪"
"jele bgt driver""nya sekarang, pesen prioritas+cari cepat, dari jam 5 nyampe jam 6.20. sekali nya dapet ga konfirm, ga gerak, nyampe ganti sendiri drivernya gitu"" juga. attitude nya jelek bgt. cuma beberapa aja yg bagus, itu juga cuma sedikit."
Apk ada pembayaran Tunai/ cash tapi giliran di pake nggak ada driver yang mau ambil orderan nya. jadi buang-buang waktu. sudah lama menunggu akhirnya di suruh cancel
"aplikasi ini, terutama gofood, mungkin dibusukkan oleh pengembang dari dalam. Sering terjadi : Chat dari penjual / driver saat terjadi ketidak sesuaian pesanan, katakanlah menu yg dipesan habis. chat untuk konfirmasi ke pembeli tidak sampai. apakah ini pengembang yg tidak kompeten, atau memang sengaja dibusukkan dari dalam."
"para driver gojek itu keren keren banget, pada ramah orang orangnya, etika nya bagus, pokoknya keren bangettt, no promosi lebih tepatnya saya ini berbicara apa adanya yang saya rasakan"
saya di tuduh menyalah gunakan promo jadi tidak ada promo sama sekali di gojek dan juga daftar goplus tidak bisa. tp tidak di info penyalahgunaan dlm bentuk apa. knp dak jelas CS tlp dan Chat jawabannya Tamplate semuaaaa
hati2 yang membuat pembayaran aplikasi pihak ke 3 lewat gojek. di aplikasi vidio sudah saya setting pembayaran tidak otomatis tetapi dri gojek nya berani melakukan penagihan pembayaran tanpa persetujuan kita sehingga saldo saya di gojek terpotong otomatis. tambah ngawur ini aplikasi
"Sejauh ini untuk aplikasi aman aja, cuma beberapa kali saya menemukan driver yang pelayanannya kurang banget, gamau berhenti di kanan lah, gamau pindahin rute lah, padahal jarak tempuh dan tujuannya sama, hanya rute yang dipindahkan, kemudian sepanjang jalan pengemudi nyerocos aja, ini komplen yang begini dimana si? kalo disini kayaknya kurang enak tapi saya mau lapor sih, beberapa kali lho, spesifikasinya itu gocar ya, saya jadi ga nyaman pake gocar karna ini"
"gojek berubah, pesan tidak langsung dapat pemberitahuan driver, pemberitahuan malah maaf Krn order baru padat, tapi kadang pencarian trs, ketika lama disuruh coba lagi, diklik, juga ga keliatan nyangkut, dan akhir driver datang tiga orang... ah ikhlasin utk driver, tapi utk fee aplikasi aku tdk ikhlas, Krn aplikasi secara sengaja mengarahkan pesan Doble/triple. dan ketika aku buat status, ada yg komen sama,"
